Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
NaMA-Mamba: Foundation model for generalizable nasal disease detection using masked autoencoder with Mamba on endoscopic images.	10.1016/j.compmedimag.2025.102524
A Novel Fusion Framework Combining Graph Embedding Class-Based Convolutional Recurrent Attention Network with Brown Bear Optimization Algorithm for EEG-Based Parkinson's Disease Recognition.	10.1007/s12031-025-02329-4
Automated liver magnetic resonance elastography quality control and liver stiffness measurement using deep learning.	10.1007/s00261-025-04883-2
Dual-channel compression mapping network with fused attention mechanism for medical image segmentation.	10.1038/s41598-025-93494-4
Structured hashing with deep learning for modality, organ, and disease content sensitive medical image retrieval.	10.1038/s41598-025-93418-2
Comparative analysis of deep learning architectures for breast region segmentation with a novel breast boundary proposal.	10.1038/s41598-025-92863-3
A Two-Stage Lightweight Deep Learning Framework for Mass Detection and Segmentation in Mammograms Using YOLOv5 and Depthwise SegNet.	10.1007/s10278-025-01471-0
Differences in door-to-device times in a retrospective cohort of patients with ischemic stroke who received CTA only or CTA and CTP imaging.	10.1016/j.jstrokecerebrovasdis.2025.108272
Local salient location-aware anomaly mask synthesis for pulmonary disease anomaly detection and lesion localization in CT images.	10.1016/j.media.2025.103523
HWA-ResMamba: automatic segmentation of coronary arteries based on residual Mamba with high-order wavelet-enhanced convolution and attention feature aggregation.	10.1088/1361-6560/adc0dd
HADCN: a hierarchical ascending densely connected network for enhanced medical image segmentation.	10.1007/s11517-025-03342-w
Arterial spin labelling perfusion MRI analysis for the Human Connectome Project Lifespan Ageing and Development studies.	10.1162/imag_a_00444
Artificial intelligence based classification and prediction of medical imaging using a novel framework of inverted and self-attention deep neural network architecture.	10.1038/s41598-025-93718-7
A robust deep learning approach for segmenting cortical and trabecular bone from 3D high resolution µCT scans of mouse bone.	10.1038/s41598-025-92954-1
Liver margin segmentation in abdominal CT images using U-Net and Detectron2: annotated dataset for deep learning models.	10.1038/s41598-025-92423-9
Three-dimensional markerless surface topography approach with convolutional neural networks for adolescent idiopathic scoliosis screening.	10.1038/s41598-025-92551-2
Facilitating Radiograph Interpretation: Refined Generative Models for Precise Bone Suppression in Chest X-rays.	10.1007/s10278-025-01461-2
Development and Validation of a <sup>18</sup>F-Flortaucipir PET Visual Stratification Method.	10.2967/jnumed.124.268700
Multi-contrast 4DMR via MR multitasking: Early clinical experience and implication for liver stereotactic body radiation therapy.	10.1016/j.radonc.2025.110839
Subjective patient rating as a novel feedback signal for DBS programming in Parkinson's disease.	10.1016/j.brs.2025.03.008
Inspired by pathogenic mechanisms: A novel gradual multi-modal fusion framework for mild cognitive impairment diagnosis.	10.1016/j.neunet.2025.107343
MCNEL: A multi-scale convolutional network and ensemble learning for Alzheimer's disease diagnosis.	10.1016/j.cmpb.2025.108703
CT-free attenuation and Monte-Carlo based scatter correction-guided quantitative <sup>90</sup>Y-SPECT imaging for improved dose calculation using deep learning.	10.1007/s00259-025-07191-5
Sex-specific effects of intensity and dose of physical activity on BOLD-fMRI cerebrovascular reactivity and cerebral pulsatility.	10.1177/0271678X251325399
CT-based radiomics-deep learning model predicts occult lymph node metastasis in early-stage lung adenocarcinoma patients: A multicenter study.	10.21147/j.issn.1000-9604.2025.01.02
Structure-property relationships in fibrous meniscal tissue through image-based augmentation.	10.1098/rsta.2024.0225
Learning Architecture for Brain Tumor Classification Based on Deep Convolutional Neural Network: Classic and ResNet50.	10.3390/diagnostics15050624
Explainable Artificial Intelligence in Neuroimaging of Alzheimer's Disease.	10.3390/diagnostics15050612
Breast Cancer Detection via Multi-Tiered Self-Contrastive Learning in Microwave Radiometric Imaging.	10.3390/diagnostics15050549
Deep learning radiomics for the prediction of epidermal growth factor receptor mutation status based on MRI in brain metastasis from lung adenocarcinoma patients.	10.1186/s12885-025-13823-8
Counterfactual explanations of tree based ensemble models for brain disease analysis with structure function coupling.	10.1038/s41598-025-92316-x
Lung cancer detection with machine learning classifiers with multi-attribute decision-making system and deep learning model.	10.1038/s41598-025-88188-w
NICE polyp feature classification for colonoscopy screening.	10.1007/s11548-025-03338-9
Deep learning models in classifying primary bone tumors and bone infections based on radiographs.	10.1038/s41698-025-00855-3
UniBrain: Universal Brain MRI diagnosis with hierarchical knowledge-enhanced pre-training.	10.1016/j.compmedimag.2025.102516
Prompt-based polyp segmentation during endoscopy.	10.1016/j.media.2025.103510
Using normative models pre-trained on cross-sectional data to evaluate intra-individual longitudinal changes in neuroimaging data.	10.7554/eLife.95823
Cerebellocerebral connectivity predicts body mass index: a new open-source Python-based framework for connectome-based predictive modeling.	10.1093/gigascience/giaf010
Optical Flow-Enhanced Mamba U-Net for Cardiac Phase Detection in Ultrasound Videos.	10.1109/TMI.2025.3550731
Fast and Stable Neonatal Brain MR Imaging Using Integrated Learned Subspace Model and Deep Learning.	10.1109/TBME.2025.3541643
Development and validation of a nomogram model based on vascular entry sign for predicting lymphovascular invasion in gastric cancer.	10.1007/s00261-025-04812-3
Retinal Microvascular Biomarker Assessment With Automated Algorithm and Semiautomated Software in the Montrachet Dataset.	10.1167/tvst.14.3.13
Serum Lactate Dehydrogenase Levels Reflect the Lung Injury Extension in COVID-19 Patients at Hospital Admission.	10.1002/iid3.70168
Segmentation of 3D OCT Images of Human Skin Using Neural Networks with U-Net Architecture.	10.17691/stm2025.17.1.01
Effect of fat distribution on left ventricular structure and function in different sexes: a Mendelian randomization study.	10.3389/fendo.2025.1355968
Automatic diagnosis of abdominal pathologies in untrimmed ultrasound videos.	10.1007/s11548-025-03334-z
A comprehensive interpretable machine learning framework for mild cognitive impairment and Alzheimer's disease diagnosis.	10.1038/s41598-025-92577-6
An Evaluation Benchmark for Adverse Drug Event Prediction from Clinical Trial Results.	10.1038/s41597-025-04718-1
A clinical prostate biopsy dataset with undetected cancer.	10.1038/s41597-025-04758-7
A comprehensive dataset of magnetic resonance enterography images with intestinal segment annotations.	10.1038/s41597-025-04760-z
Comprehensive evaluation of pipelines for classification of psychiatric disorders using multi-site resting-state fMRI datasets.	10.1016/j.neunet.2025.107335
Encoding 3D information in 2D feature maps for brain CT-Angiography.	10.1016/j.compmedimag.2025.102518
Improvement of RT-DETR model for ground glass pulmonary nodule detection.	10.1371/journal.pone.0317114
Spatial-Aware Transformer-GRU Framework for Enhanced Glaucoma Diagnosis From 3D OCT Imaging.	10.1109/JBHI.2025.3550394
How much data do you need? An analysis of pelvic multi-organ segmentation in a limited data context.	10.1007/s13246-024-01514-w
AI classification of knee prostheses from plain radiographs and real-world applications.	10.1007/s00590-025-04238-z
Segmentation of lungs from chest X-ray images based on Deep Atrous Attention UNet (DAA-UNet) model.	10.1007/s11517-025-03344-8
Deriving a Mammogram-Based Risk Score from Screening Digital Breast Tomosynthesis for 5-Year Breast Cancer Risk Prediction.	10.1158/1940-6207.CAPR-24-0427
Retrospective BReast Intravoxel Incoherent Motion Multisite (BRIMM) multisoftware study.	10.3389/fonc.2025.1524634
Toward optimal inline respiratory motion correction for in vivo cardiac diffusion tensor MRI using symmetric and inverse-consistent deformable image registration.	10.1002/mrm.30485
Convolutional block attention gate-based Unet framework for microaneurysm segmentation using retinal fundus images.	10.1186/s12880-025-01625-0
A multicenter validation and calibration of automated software package for detecting anterior circulation large vessel occlusion on CT angiography.	10.1186/s12883-025-04107-6
Impact of hypotonic hyponatremia on outcomes in patients undergoing transcatheter aortic valve replacement: a national inpatient sample.	10.1186/s12872-025-04564-4
Implantable collamer lens sizing optimization based on the anterion AS-OCT biometric parameters.	10.1038/s41433-025-03741-1
A Thyroid Nodule Ultrasound Image Grading Model Integrating Medical Prior Knowledge.	10.1007/s10278-024-01120-y
Photodiagnosis with deep learning: A GAN and autoencoder-based approach for diabetic retinopathy detection.	10.1016/j.pdpdt.2025.104552
DGEDDGAN: A dual-domain generator and edge-enhanced dual discriminator generative adversarial network for MRI reconstruction.	10.1016/j.mri.2025.110381
Addressing underestimation and explanation of retinal fundus photo-based cardiovascular disease risk score: Algorithm development and validation.	10.1016/j.compbiomed.2025.109941
Patient-specific MRI super-resolution via implicit neural representations and knowledge transfer.	10.1088/1361-6560/adbed4
Retrospective Cardiac Gating with A Prototype Small-Animal X-ray Computed Tomograph.	10.3791/67803
WeakMedSAM: Weakly-Supervised Medical Image Segmentation via SAM With Sub-Class Exploration and Prompt Affinity Mining.	10.1109/TMI.2025.3549433
Weighted Multi-Modal Contrastive Learning Based Hybrid Network for Alzheimer's Disease Diagnosis.	10.1109/TNSRE.2025.3549730
Robust Automatic Grading of Blunt Liver Trauma in Contrast-Enhanced Ultrasound Using Label-Noise-Resistant Models.	10.1007/s10278-025-01466-x
Connectome-Based Predictive Modeling of PTSD Development Among Recent Trauma Survivors.	10.1001/jamanetworkopen.2025.0331
Artificial Intelligence Versus Rules-Based Approach for Segmenting NonPerfusion Area in a DRCR Retina Network Optical Coherence Tomography Angiography Dataset.	10.1167/iovs.66.3.22
Unlocking the potential of digital pathology: Novel baselines for compression.	10.1016/j.jpi.2025.100421
Automated detection of small hepatocellular carcinoma in cirrhotic livers: applying deep learning to Gd-EOB-DTPA-enhanced MRI.	10.1007/s00261-025-04853-8
MCDGLN: Masked connection-based dynamic graph learning network for autism spectrum disorder.	10.1016/j.brainresbull.2025.111290
Towards automatic US-MR fetal brain image registration with learning-based methods.	10.1016/j.neuroimage.2025.121104
Are there inequalities in ovarian cancer diagnosis and treatment in England? A population-based study.	10.1016/j.canep.2025.102778
Hand X-rays findings and a disease screening for Turner syndrome through deep learning model.	10.1186/s12887-025-05532-9
Automated multi-class MRI brain tumor classification and segmentation using deformable attention and saliency mapping.	10.1038/s41598-025-92776-1
Improving lung cancer pathological hyperspectral diagnosis through cell-level annotation refinement.	10.1038/s41598-025-85678-9
Alterations in the Glymphatic System and Presence of Small Vessel Disease in Hospitalized and Non-hospitalized COVID Patients: A Study of PSMD Index and DTI-ALPS.	10.1016/j.acra.2025.02.022
